"Kind","Key","Count","Branches"
"same_tree","5da8884b65989fe224eae8e9c8b06d65004d6f3a","2","rescue/no-perder-nada-20260615-171019/stash/13;rescue/no-perder-nada-20260615-180121/stash/13"
"same_tree","99b76099957c9ec70a5c6c2b2abf83948c799214","2","rescue/no-perder-nada-20260615-171019/stash/11;rescue/no-perder-nada-20260615-180121/stash/11"
"same_tree","53592277c53d3227f8b0db7d1ae603c1291a7bdc","2","rescue/no-perder-nada-20260615-171019/stash/2;rescue/no-perder-nada-20260615-180121/stash/2"
"same_tree","34d2a258dac731f3bb9dd5d2dbce7c58efbe7c70","2","rescue/no-perder-nada-20260615-171019/stash/6;rescue/no-perder-nada-20260615-180121/stash/6"
"same_tree","4e727211364f2c8bc93ad5166ad6e544ab8cd7f1","2","rescue/no-perder-nada-20260615-171019/stash/7;rescue/no-perder-nada-20260615-180121/stash/7"
"same_tree","740ebed99298b6277849536e9046ea0e2b02f0b9","2","audit/f6-post-approval-sensitive-c851057f;merge/f6-approved-a9377e9f"
"same_tree","dc1c5cdc368062677c9d943904eb19dca213e0d1","2","rescue/no-perder-nada-20260615-171019/stash/16;rescue/no-perder-nada-20260615-180121/stash/16"
"same_tree","c7eafaef4842a493c04ce3d574b0338659fb211a","2","rescue/no-perder-nada-20260615-171019/stash/27;rescue/no-perder-nada-20260615-180121/stash/27"
"same_tree","ef357aa5bf2ccead508653011ca2a1fbcc42aaa8","2","rescue/no-perder-nada-20260615-171019/stash/24;rescue/no-perder-nada-20260615-180121/stash/24"
"same_tree","59f4e2a435a7c393298a228d0cfb8fa4bfe6071a","2","rescue/no-perder-nada-20260615-171019/stash/31;rescue/no-perder-nada-20260615-180121/stash/31"
"same_tree","f55a4e0089e38f20feeddcaf0cb11eb78b28255e","2","rescue/no-perder-nada-20260615-171019/stash/12;rescue/no-perder-nada-20260615-180121/stash/12"
"same_tree","ac066b91300079db9b21386bf4dd5206bda7982f","2","rescue/no-perder-nada-20260615-171019/stash/1;rescue/no-perder-nada-20260615-180121/stash/1"
"same_tree","08bee1b96371aacb91bf28813d80e9bb366ba158","2","rescue/no-perder-nada-20260615-171019/stash/20;rescue/no-perder-nada-20260615-180121/stash/20"
"same_tree","0569e20b2d21f5e260da7916d3df6bc8f6642d8c","2","rescue/no-perder-nada-20260615-171019/stash/32;rescue/no-perder-nada-20260615-180121/stash/32"
"same_tree","d2f6f531598d0979ed86b58349dabafa53522d1a","3","codex/final-rc-scope-cutover;rescue/no-perder-nada-20260615-171019/worktree-head/005-C-/tmp/S_Hospital_final_rc;rescue/no-perder-nada-20260615-180121/worktree-head/005-"
"same_tree","9185f4fcbcf133e8ed97d5437db83cae5b6aa35f","2","rescue/no-perder-nada-20260615-171019/stash/28;rescue/no-perder-nada-20260615-180121/stash/28"
